,userId,itemId,rating
33118,62890,1625,3.0
355,1550,1214,4.0
33123,62890,1704,5.0
65885,141103,1219,5.0
33126,62890,1721,2.0
359,1550,1588,3.0
33129,62890,1752,1.0
362,1550,1967,4.0
33131,62890,1779,4.0
33133,62890,1792,4.0
369,1550,2253,4.0
33141,62890,1921,4.0
65910,141103,2571,4.0
375,1550,2628,5.0
65915,141103,2739,5.0
65917,141103,2951,5.0
65921,141103,3114,4.5
65922,141103,3147,4.0
389,2478,519,2.0
33158,62890,2322,3.0
65926,141103,3471,4.5
33160,62890,2330,3.0
393,2478,919,5.0
65927,141103,3503,5.0
65930,141103,3681,5.0
397,2478,1097,3.0
33165,62890,2353,3.0
399,2478,1206,5.0
65934,141103,4016,4.0
401,2478,1240,5.0
33170,62890,2424,3.0
65936,141103,4282,5.0
33172,62890,2542,3.0
33173,62890,2562,4.0
33174,62890,2571,4.0
33175,62890,2575,3.0
65942,141103,4878,5.0
413,2478,2409,1.0
65950,141103,5378,4.0
415,2478,2735,1.0
418,2478,3127,4.0
33187,62890,2710,5.0
420,2478,3262,4.0
65956,141103,5952,3.5
422,2478,3654,3.0
65958,141103,5992,4.0
33192,62890,2770,3.0
65965,141103,6666,5.0
33200,62890,2997,4.0
33203,62890,3052,2.0
33206,62890,3148,4.0
442,2580,899,5.0
33211,62890,3300,4.0
65980,141103,8622,3.5
33214,62890,3556,3.0
65983,141103,25771,4.5
33216,62890,3783,5.0
65985,141103,26574,4.5
33221,63188,733,4.5
65993,141103,32031,4.0
65994,141103,33493,4.0
459,2580,938,4.0
33228,63188,2011,4.5
65998,141103,34150,2.0
464,2580,961,2.0
465,2580,962,4.0
466,2580,974,3.0
66002,141103,41571,4.0
33236,63188,4963,4.5
66003,141103,41997,5.0
470,2580,1018,3.0
66005,141103,45447,3.5
472,2580,1028,5.0
473,2580,1032,5.0
66007,141103,45722,3.5
476,2580,1084,5.0
477,2580,1086,5.0
33244,63188,6373,4.5
66013,141103,52927,5.0
33248,63188,8965,4.0
66015,141103,56174,3.5
33250,63188,30793,4.5
483,2580,1248,4.0
66017,141103,57640,4.0
485,2580,1276,4.0
66019,141103,59615,4.0
66020,141103,60069,3.5
33256,63188,51255,4.5
489,2580,1929,4.0
66024,141103,64614,4.0
66026,141103,65261,5.0
33261,63188,68954,4.0
33264,63188,70286,4.5
33265,63188,72998,4.0
66033,141103,70286,5.0
66034,141103,71108,5.0
502,2580,2136,2.0
33272,63188,84152,4.5
505,2580,2184,3.0
33273,63188,85414,5.0
66044,141103,86320,4.5
33278,63188,92259,4.5
66046,141103,86898,5.0
33284,63188,99114,4.5
66053,141103,92259,3.5
520,2849,1261,5.0
66057,141103,96606,5.0
522,2849,1591,3.5
33292,63188,106002,5.0
33293,63188,106487,4.5
33296,63188,109487,4.0
529,2849,2959,5.0
33299,63188,111362,4.0
532,2849,3354,4.5
535,2849,3668,1.5
66075,141103,160398,5.0
541,3766,101,3.5
33309,63188,134368,3.5
543,3766,247,4.5
66080,141324,318,5.0
66081,141324,334,5.0
66087,141324,750,5.0
33320,63188,164179,4.0
66089,141324,838,5.0
33322,63188,168248,4.5
33325,63358,3,4.0
558,3766,1228,5.0
33327,63358,6,4.0
33328,63358,10,3.0
33329,63358,11,4.0
66096,141324,923,5.0
66100,141324,969,5.0
566,3766,1298,4.0
33338,63358,31,3.0
66107,141324,1208,5.0
33340,63358,34,4.0
573,3766,2064,4.0
33341,63358,39,4.0
66111,141324,1230,5.0
577,3766,2313,4.0
33347,63358,110,5.0
583,3766,2788,0.5
66120,141324,1533,5.0
585,3766,3168,4.5
33353,63358,158,3.0
66122,141324,1726,3.0
589,3766,3551,4.0
593,3766,3742,3.0
33362,63358,193,2.0
66131,141324,2186,5.0
33364,63358,198,4.0
597,3766,5902,4.0
66133,141324,2336,5.0
599,3766,6440,5.0
66134,141324,2351,5.0
602,3766,8950,4.5
33371,63358,223,4.0
66138,141324,2436,3.0
605,3766,54881,3.5
33382,63358,252,3.0
33385,63358,257,3.0
66153,141324,2599,4.0
66158,141324,2624,4.0
626,4541,911,3.5
66164,141324,2692,4.0
33399,63358,317,3.0
635,4541,953,3.5
636,4541,965,3.5
33405,63358,339,3.0
638,4541,1136,3.5
640,4541,1199,3.5
33410,63358,350,4.0
33411,63358,352,4.0
66178,141324,2723,4.0
33413,63358,355,3.0
646,4541,1215,4.0
33414,63358,356,3.0
33415,63358,357,3.0
66180,141324,2725,3.0
66182,141324,2759,3.0
33419,63358,368,3.0
66184,141324,2762,4.0
66190,141324,2825,4.0
656,4541,1274,4.0
661,4541,1350,3.5
33429,63358,410,3.0
663,4541,1617,2.5
33431,63358,419,3.0
66198,141324,2858,4.0
66201,141324,2865,3.0
668,4541,2019,4.0
33436,63358,435,3.0
66205,141324,2890,3.0
675,4541,2203,4.0
33443,63358,464,4.0
33444,63358,466,3.0
678,4541,2488,4.0
679,4541,2551,4.0
680,4541,2672,1.5
66214,141324,2940,5.0
66218,141324,2966,4.0
684,4541,3018,3.5
33453,63358,508,4.0
33454,63358,509,3.0
66221,141324,2976,2.0
688,4541,3435,3.5
66225,141324,3000,5.0
691,4541,3627,4.5
33462,63358,535,3.0
695,4541,3735,4.0
33466,63358,551,4.0
702,4541,4467,2.0
33471,63358,586,4.0
704,4541,4848,4.5
66239,141324,3082,3.0
66243,141324,3095,5.0
66244,141324,3096,5.0
66248,141324,3117,4.0
66249,141324,3118,4.0
33482,63358,608,5.0
33483,63358,610,3.0
66251,141324,3129,3.0
66255,141324,3148,4.0
66256,141324,3150,2.0
724,4541,7099,4.0
66261,141419,2858,4.0
726,4541,7387,3.5
33494,63358,1020,4.0
66262,141419,3000,5.0
729,4541,8477,4.5
730,4541,26662,4.0
732,4541,26776,3.5
66268,141419,3755,3.0
66269,141419,3785,1.0
33503,64588,2571,4.5
66274,141419,4014,4.5
33511,64588,60069,5.0
33515,64588,89745,3.5
66285,141419,4369,4.0
33518,64588,112852,4.0
754,4541,104879,3.5
755,4541,104944,4.0
33523,64905,6,3.0
66291,141419,4718,1.0
66293,141419,4776,4.0
759,4541,115122,4.0
760,4541,115569,4.0
762,4541,121231,4.0
33532,64905,39,4.0
766,4541,163134,4.0
33535,64905,74,3.5
66304,141419,5349,3.0
769,4541,177651,4.5
33537,64905,104,1.5
66306,141419,5444,3.5
66308,141419,5459,3.0
66310,141419,5507,3.0
66311,141419,5618,5.0
33544,64905,168,2.5
777,4626,527,3.5
33545,64905,185,4.0
780,4626,593,4.0
785,4626,1253,3.0
787,4626,1721,3.5
788,4626,1959,3.5
33559,64905,292,1.5
795,4626,3285,5.0
66331,141419,7153,4.0
799,4626,3698,3.5
33567,64905,344,2.0
803,4626,5349,3.5
33571,64905,370,4.0
66340,141419,69757,3.5
806,4626,6539,4.0
33575,64905,431,4.0
66341,141419,72998,4.0
33577,64905,457,3.0
33578,64905,475,4.5
33581,64905,500,3.0
814,4908,50,5.0
815,4908,169,3.0
816,4908,260,4.0
66351,141419,104374,5.0
66355,141419,114265,3.5
66356,141419,115667,4.0
33589,64905,592,2.0
66357,141419,122904,4.0
830,4908,3173,3.5
831,4908,4993,4.5
66366,142202,48,3.0
33601,64905,838,4.5
839,4908,54272,4.5
33608,64905,969,3.0
66375,142202,357,3.5
66376,142202,364,4.5
33614,64905,1073,2.0
66382,142202,480,5.0
850,4959,153,3.0
66386,142202,590,3.5
33620,64905,1096,5.0
66388,142202,597,5.0
857,4959,236,3.0
859,4959,254,3.0
33628,64905,1206,2.0
33629,64905,1210,1.5
33632,64905,1220,1.0
865,4959,307,4.0
866,4959,318,5.0
33633,64905,1221,4.0
33639,64905,1258,1.5
66407,142202,1566,3.0
66410,142202,1688,4.0
877,4959,367,3.0
66414,142202,1835,4.0
33648,64905,1446,3.5
66421,142202,2470,3.0
66423,142202,2571,4.0
66424,142202,2572,5.0
33660,64905,1704,4.5
894,4959,471,5.0
896,4959,475,4.0
33665,64905,1784,3.5
66434,142202,3578,4.5
901,4959,500,4.0
902,4959,505,3.0
33669,64905,1882,1.5
66437,142202,3825,5.0
33673,64905,1923,3.5
906,4959,520,3.0
907,4959,527,5.0
908,4959,529,4.0
66441,142202,4054,3.5
33678,64905,2011,3.0
66447,142202,4232,2.0
66448,142202,4246,2.5
33683,64905,2174,1.0
66451,142202,4306,3.5
920,4959,594,3.0
921,4959,595,3.0
922,4959,596,3.0
66456,142202,4367,3.5
925,5065,260,4.0
928,5065,1196,4.0
66464,142202,4975,1.5
932,5065,2571,3.0
66473,142202,5444,5.0
939,5065,122916,4.0
66475,142202,5459,3.5
66477,142202,5628,4.0
33710,64905,2745,3.0
66483,142202,6377,5.0
33719,64905,2908,5.0
66487,142202,6874,1.5
953,5529,111,4.0
66489,142202,6942,5.0
66491,142202,7005,2.0
957,5529,296,5.0
959,5529,390,4.0
33728,64905,3246,4.0
961,5529,441,2.0
33731,64905,3264,0.5
33732,64905,3273,2.5
66500,142202,8361,4.5
66501,142202,8368,4.5
66502,142202,8371,3.0
33737,64905,3578,4.5
970,5529,778,2.0
973,5529,1080,1.0
975,5529,1103,4.5
976,5529,1175,3.5
977,5529,1206,5.0
979,5529,1214,4.0
33748,64905,3949,4.0
66516,142202,33615,3.5
33750,64905,4011,2.0
66518,142202,33794,4.0
33755,64905,4223,3.5
66528,142202,44022,4.5
66529,142202,45447,4.5
66534,142217,799,3.5
33772,64905,4975,3.5
1005,5529,2797,1.0
66541,142217,2959,4.5
33775,64905,4993,5.0
1009,5529,3019,4.0
1016,5529,5180,2.0
1017,5529,5508,0.5
1018,5529,5952,0.5
66555,142217,6539,4.5
66556,142217,7022,2.5
1021,5529,6618,3.5
33791,64905,5669,4.0
1027,5529,7022,4.0
33795,64905,5902,5.0
33796,64905,5945,3.5
1030,5529,7123,1.0
33799,64905,5989,4.0
33800,64905,5992,3.5
1033,5529,7387,4.0
66563,142217,31221,2.0
33803,64905,6502,5.0
66570,142217,44191,3.0
33806,64905,6687,1.0
66575,142217,46976,3.0
66578,142217,49272,4.0
1043,5951,318,4.5
1044,5951,527,3.0
1045,5951,589,4.5
33811,64905,6888,2.0
33813,64905,6942,4.0
33814,64905,6947,4.0
66586,142217,54256,2.5
33819,64905,7162,4.0
33820,64905,7203,2.5
66587,142217,54272,4.0
66588,142217,54286,4.0
66589,142217,54503,4.0
33824,64905,7367,2.0
1057,5951,4022,4.0
66591,142511,50,3.0
66596,142511,858,3.5
1061,5951,5989,4.0
33829,64905,8261,3.0
66597,142511,912,2.0
66599,142511,1196,4.5
66603,142511,2571,5.0
1069,5951,48774,4.5
1070,5951,48780,4.5
33838,64905,8948,3.0
33841,64905,8973,4.0
33842,64905,8981,4.0
33843,64905,27193,0.5
33848,64905,31410,4.0
33849,64905,31696,1.0
1084,5951,81591,4.5
33852,64905,33493,1.0
66621,142511,58559,5.0
33855,64905,33836,2.0
33859,64905,39183,4.0
1092,5951,91658,2.0
33861,64905,41569,3.5
1096,5951,96610,3.0
33865,64905,44974,5.0
1098,5951,97938,3.0
66632,142511,89774,4.0
33868,64905,48385,5.0
66637,142511,104841,4.0
66640,142511,106920,3.5
33873,64905,48774,2.5
33874,64905,48997,4.5
33875,64905,49286,3.5
33876,64905,51418,2.5
1109,5951,109487,5.0
33878,64905,52281,2.0
66641,142511,109487,5.0
66643,142511,111362,3.5
66649,142570,260,4.5
33882,64905,54648,0.5
33883,64905,55052,4.5
1117,5951,115713,3.5
66653,142570,1907,4.5
1119,5951,119145,3.0
66659,142570,4545,5.0
1127,5951,139644,4.0
33896,64905,59725,3.0
1131,5951,152077,3.0
1132,5951,161582,4.0
66671,142570,68954,4.5
1136,5951,168248,3.0
33906,64905,64622,5.0
33907,64905,65567,3.0
66676,142570,132046,4.5
66677,142570,152081,5.0
66679,142570,167036,4.5
33915,64905,69757,2.0
1148,5951,179401,1.5
1149,5951,180031,3.0
33918,64905,71535,2.5
1151,5951,182715,3.0
66683,142763,1,4.0
66685,142763,22,4.0
66686,142763,24,3.0
1156,5951,189333,3.5
1158,5951,195159,1.0
33927,64905,75985,2.5
33932,64905,81180,1.5
1167,6474,348,4.0
1168,6474,357,4.0
33935,64905,81250,1.5
33937,64905,81562,4.5
66705,142763,288,5.0
66709,142763,300,5.0
33943,64968,480,3.0
33944,64968,527,3.0
1177,6474,902,3.0
33945,64968,608,5.0
66712,142763,322,5.0
66713,142763,329,3.0
1181,6474,930,5.0
33949,64968,1148,4.0
33951,64968,1198,3.0
1184,6474,1059,5.0
66714,142763,333,4.0
1186,6474,1080,3.0
66715,142763,339,4.0
33956,64968,1240,3.0
66716,142763,345,3.0
1190,6474,1148,4.0
66718,142763,353,3.0
33963,64968,1694,4.0
1197,6474,1230,5.0
66735,142763,597,3.0
66736,142763,608,3.0
66739,142763,736,4.0
66741,142763,780,4.0
1206,6474,1732,5.0
33977,64968,4676,2.0
1212,6474,1968,4.0
1213,6474,2085,2.0
1216,6474,2289,3.0
1217,6474,2294,3.0
1221,6474,2571,5.0
66758,142763,1127,4.0
33995,65483,2571,3.5
66766,142763,1225,5.0
34000,65483,4011,5.0
1234,6474,3019,4.0
34002,65483,4720,3.0
34003,65483,4776,4.5
66775,142763,1346,3.0
1243,6544,858,4.0
1244,6544,1131,3.0
34011,65483,5952,5.0
1246,6544,1198,3.0
34012,65483,6333,5.0
34014,65483,6539,5.0
66779,142763,1392,2.0
66780,142763,1394,4.0
66781,142763,1409,3.0
66785,142763,1517,3.0
1253,6544,1299,4.0
1254,6544,1358,4.0
34023,65483,8972,4.0
66789,142763,1614,3.0
34025,65483,33794,5.0
66793,142763,1645,3.0
1262,6640,5,3.0
66801,142763,1784,4.0
1266,6640,32,5.0
34034,65483,49272,5.0
66804,142763,1968,4.0
1275,6640,141,4.0
34044,65483,54001,5.0
1278,6640,608,5.0
34046,65483,55820,4.0
66814,142763,2100,3.0
34049,65483,58103,4.5
34053,65483,60072,3.5
34055,65483,63113,5.0
1288,6640,780,2.0
1289,6640,788,4.0
1290,6640,800,4.0
34057,65483,67923,4.5
34059,65483,68319,4.5
66823,142763,2262,4.0
66829,142763,2628,4.0
1297,6640,1041,4.0
34065,65483,72998,4.0
1302,6640,1354,4.0
1304,6640,1399,4.0
66842,142763,2915,3.0
66845,142763,2987,4.0
1311,6640,1466,5.0
34079,65483,87232,4.0
66847,142763,3044,2.0
66849,142763,3108,4.0
1316,6640,1518,5.0
34087,65483,91658,2.5
34088,65483,91842,3.5
1321,7784,10,3.0
66859,142829,235,4.0
1324,7784,19,4.0
1325,7784,20,3.0
1326,7784,21,4.0
1327,7784,22,3.0
34092,65483,97938,3.5
34094,65483,99114,5.0
34097,65483,102903,4.0
1331,7784,42,3.5
66860,142829,322,5.0
66864,142829,368,4.0
1335,7784,70,4.0
34103,65483,110102,4.0
34105,65483,111759,3.5
1338,7784,95,3.5
34110,65483,116823,4.5
34111,65483,117529,5.0
66883,142829,1113,1.0
34117,65483,122920,3.5
66886,142829,1215,3.0
34120,65483,135143,3.5
66888,142829,1259,4.0
1354,7784,215,4.0
34128,66673,2,3.5
66896,142829,1425,3.0
34132,66673,47,4.0
66900,142829,1569,3.0
34134,66673,70,4.5
1368,7784,316,3.0
34136,66673,110,4.5
34137,66673,163,4.5
34139,66673,172,3.0
66905,142829,1701,4.0
66911,142829,1824,3.0
66912,142829,1845,4.0
1377,7784,368,3.0
1379,7784,372,3.5
34148,66673,296,4.5
66919,142829,1961,4.0
34152,66673,367,3.5
34154,66673,370,4.5
66922,142829,2000,5.0
34159,66673,455,2.5
1394,7784,464,3.0
34162,66673,519,2.5
34164,66673,589,3.5
34165,66673,593,4.5
1398,7784,481,4.0
34166,66673,597,3.5
66930,142829,2109,4.0
1401,7784,500,3.5
34170,66673,653,4.0
1403,7784,520,3.0
34172,66673,733,4.0
1405,7784,527,4.5
66933,142829,2134,2.0
66941,142829,2321,4.0
66942,142829,2355,4.0
34178,66673,802,3.5
66949,142829,2463,4.0
1414,7784,592,3.5
1415,7784,593,4.0
1416,7784,597,3.0
66950,142829,2470,4.0
1418,7784,628,4.5
1419,7784,648,3.5
66957,142829,2593,3.0
66962,142829,2657,4.0
66964,142829,2700,5.0
1430,7784,786,3.0
34198,66673,1199,4.5
34199,66673,1200,4.0
34200,66673,1201,3.5
34202,66673,1206,4.5
66966,142829,2716,4.0
34204,66673,1209,4.0
66967,142829,2795,4.0
34206,66673,1213,4.5
1439,7784,904,4.5
66969,142829,2883,1.0
66972,142829,2946,4.0
1446,7784,1034,4.0
66982,142829,3177,1.0
1449,7784,1049,3.0
66985,142829,3317,3.0
1451,7784,1079,3.5
34219,66673,1291,4.0
1453,7784,1089,4.5
34220,66673,1292,3.5
66986,142829,3397,4.0
66991,142829,3450,4.0
1459,7784,1125,4.0
1461,7784,1129,3.5
1462,7784,1130,3.5
34231,66673,1375,4.5
66998,142829,3534,3.0
67004,142829,3608,4.0
67005,142829,3613,3.0
34240,66673,1517,4.5
67009,142829,3740,2.0
1475,7784,1220,4.0
34245,66673,1584,4.0
34252,66673,1682,4.0
67021,142829,3968,3.0
1486,7784,1249,3.5
1492,7784,1261,3.5
34261,66673,1882,3.0
67029,143432,3617,3.5
34264,66673,1923,3.5
1498,7784,1288,4.5
1500,7784,1291,4.0
67040,143432,6287,3.5
1505,7784,1342,3.0
1507,7784,1345,4.0
67043,143432,7254,3.0
67046,143432,7451,3.5
67051,143432,30707,4.0
1518,7784,1393,3.0
1522,7784,1466,4.0
67060,143432,46976,3.0
1525,7784,1485,3.5
34293,66673,2409,4.0
67061,143432,47099,5.0
1528,7784,1517,3.5
1529,7784,1552,3.5
34298,66673,2478,3.5
67066,143432,54001,2.0
67067,143432,54503,3.5
1534,7784,1584,4.0
34304,66673,2641,2.5
67075,143432,74789,3.0
1542,7784,1610,3.5
34312,66673,2791,4.5
67080,143432,116797,5.0
34315,66673,2858,4.0
67083,143610,4,5.0
67088,143610,14,4.0
1556,7784,1687,3.0
1558,7784,1704,4.0
1559,7784,1717,2.5
67095,143610,27,4.0
67096,143610,31,5.0
34334,66673,3273,3.0
1567,7784,1784,3.0
34336,66673,3362,4.5
1569,7784,1805,3.5
67104,143610,46,4.0
67105,143610,47,5.0
67106,143610,50,4.0
1578,7784,1912,3.5
67117,143610,89,3.0
1583,7784,1954,4.0
1584,7784,1960,4.0
34351,66673,3992,4.0
1586,7784,1968,4.0
67120,143610,100,3.0
34356,66673,4262,4.5
67124,143610,111,5.0
1590,7784,1977,3.0
67125,143610,112,4.0
1592,7784,1979,4.0
34361,66673,4571,3.5
1594,7784,1981,2.5
34363,66673,4643,3.5
67129,143610,141,4.0
34365,66673,4718,4.0
1600,7784,2001,3.5
67137,143610,162,4.0
1607,7784,2023,3.5
67144,143610,180,4.0
67147,143610,185,3.0
1612,7784,2094,3.0
67148,143610,188,3.0
1617,7784,2122,3.5
1618,7784,2126,3.0
67153,143610,206,4.0
34389,66673,5952,4.5
67157,143610,217,3.0
1624,7784,2231,4.0
1627,7784,2268,3.5
34395,66673,6373,4.0
34396,66673,6502,3.5
1630,7784,2279,2.5
1631,7784,2288,4.5
67163,143610,231,3.0
1633,7784,2302,4.0
67168,143610,247,4.0
34404,66673,6936,3.5
1639,7784,2352,4.5
67176,143610,280,5.0
34410,66673,7361,4.5
1644,7784,2404,3.5
67180,143610,289,4.0
67182,143610,293,4.0
34415,66673,8360,4.0
1648,7784,2420,3.5
1650,7784,2455,4.0
67187,143610,316,4.0
67188,143610,318,5.0
34421,66673,8644,3.5
67190,143610,337,5.0
34423,66673,8810,3.5
1657,7784,2529,4.0
34427,66673,8977,4.0
34428,66673,8984,4.0
1662,7784,2580,3.0
1663,7784,2581,1.5
34435,66673,33679,4.0
1670,7784,2710,3.5
1672,7784,2716,4.0
34442,66673,36529,3.5
34443,66673,37386,3.0
1676,7784,2762,4.0
67210,143610,372,5.0
1678,7784,2791,4.0
1679,7784,2792,4.0
1681,7784,2803,3.5
34451,66673,44665,4.5
67219,143610,387,3.0
67222,143610,422,3.0
67224,143610,428,5.0
34458,66673,48516,3.5
1693,7784,2924,3.5
1694,7784,2947,4.0
67229,143610,441,3.0
1696,7784,2959,4.5
1697,7784,2966,4.0
34466,66673,52281,4.0
67231,143610,448,3.0
67234,143610,453,3.0
67235,143610,454,3.0
1702,7784,3006,4.0
34471,66673,53953,4.0
1707,7784,3052,3.5
34476,66673,54503,4.0
1709,7784,3081,3.5
34478,66673,54997,4.0
1711,7784,3101,3.0
67245,143610,476,4.0
34481,66673,56174,4.0
1714,7784,3147,4.0
34483,66673,56587,4.0
1716,7784,3168,4.0
67248,143610,481,5.0
34486,66673,58299,3.5
34487,66673,58559,4.5
67249,143610,485,2.0
67256,143610,506,5.0
34490,66673,59126,4.0
34491,66673,59315,4.5
67259,143610,509,5.0
1726,7784,3253,3.5
34494,66673,60069,4.0
34495,66673,60128,2.0
34496,66673,60684,4.0
67266,143610,528,1.0
67267,143610,529,4.0
1732,7784,3263,4.0
34500,66673,62434,3.5
34501,66673,63062,4.0
1735,7784,3272,4.5
34502,66673,63131,4.0
1737,7784,3275,4.0
1738,7784,3285,3.0
34505,66673,65588,5.0
1740,7784,3301,3.0
34509,66673,68135,3.5
67272,143610,537,3.0
67277,143610,544,4.0
67278,143610,551,5.0
1745,7784,3386,4.0
1753,7784,3476,4.5
1756,7784,3489,3.0
34527,66673,76093,4.5
67296,143610,627,5.0
34530,66673,77561,4.0
34531,66673,78218,4.0
67301,143610,661,3.0
34534,66673,79553,3.5
34535,66673,79702,4.0
67304,143610,685,4.0
67308,143610,714,3.0
1774,7784,3703,3.5
67312,143610,736,4.0
1777,7784,3708,3.5
1778,7784,3717,3.0
1779,7784,3727,4.0
34545,66673,85414,4.5
34549,66673,87869,4.5
67315,143610,767,4.0
67318,143610,780,4.0
34552,66673,89745,4.0
1785,7784,3763,3.5
67321,143610,786,3.0
34555,66673,91500,4.0
67323,143610,804,4.0
34557,66673,91542,4.0
67325,143610,835,5.0
1793,7784,3868,4.0
34566,66673,97306,3.5
1801,7784,3948,3.0
34569,66673,97938,3.5
67337,143610,912,3.0
34572,66673,99007,4.0
67338,143610,919,4.0
34576,66673,102445,4.5
1809,7784,3998,3.5
67346,143610,1007,4.0
34580,66673,103335,3.5
1815,7784,4025,2.5
1816,7784,4027,3.5
1817,7784,4034,4.0
34584,66751,32,4.0
34586,66751,62,4.0
34587,66751,95,4.0
34589,66751,150,5.0
1822,7784,4128,3.5
67355,143610,1043,3.0
67358,143610,1059,4.0
67359,143610,1060,5.0
67361,143610,1073,4.0
1827,7784,4210,4.5
1829,7784,4233,2.5
67366,143610,1088,4.0
1831,7784,4239,3.5
34599,66751,329,4.0
67369,143610,1091,4.0
67372,143610,1094,4.0
1838,7784,4383,4.0
